Unnamed: 0_x,Content ID,Reaction Type,Datetime,Unnamed: 0_y,Content Type,Category,Unnamed: 0,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,0,photo,Studying,2,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,0,photo,Studying,2,negative,0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,0,photo,Studying,2,negative,0
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,1,photo,healthy eating,2,negative,0
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,2,photo,healthy eating,2,negative,0
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:32,6,video,dogs,2,negative,0
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:56,6,video,dogs,2,negative,0
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:20,6,video,dogs,2,negative,0
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 01:44:22,9,photo,public speaking,2,negative,0
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 04:14:45,9,photo,public speaking,2,negative,0
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07 08:49:52,10,GIF,science,2,negative,0
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2021-03-31 15:51:15,12,GIF,tennis,2,negative,0
296,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-09-11 16:22:49,12,GIF,tennis,2,negative,0
300,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13 16:31:34,12,GIF,tennis,2,negative,0
304,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23 19:31:31,12,GIF,tennis,2,negative,0
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-12-08 13:12:56,13,video,food,2,negative,0
319,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-01-05 13:15:46,13,video,food,2,negative,0
322,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-11-08 02:43:54,13,video,food,2,negative,0
329,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-04-19 01:45:56,13,video,food,2,negative,0
340,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-10-18 12:49:22,13,video,food,2,negative,0
359,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,2021-02-08 03:28:00,15,GIF,fitness,2,negative,0
371,f332d362-dc48-46c2-a64b-641157c0987e,disgust,2021-02-15 20:35:25,16,GIF,soccer,2,negative,0
398,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-09 09:41:37,17,video,public speaking,2,negative,0
404,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2020-12-26 06:13:28,17,video,public speaking,2,negative,0
405,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-15 17:31:50,17,video,public speaking,2,negative,0
412,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2020-11-21 03:14:44,18,video,food,2,negative,0
423,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2021-01-01 11:23:50,18,video,food,2,negative,0
441,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2021-04-10 09:41:43,19,video,tennis,2,negative,0
444,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-12-14 12:53:01,19,video,tennis,2,negative,0
470,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-10-06 10:20:38,19,video,tennis,2,negative,0
479,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-08-27 15:08:16,19,video,tennis,2,negative,0
489,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-09-13 08:14:15,20,GIF,soccer,2,negative,0
